abr,long_form,long_form_raw
NCEP,National Cholesterol Education Program,National Cholesterol Education Program
NCS,nerve conduction study,[[nerve conduction study]]
NCT,"nerve conduction test, aka nerve conduction study","nerve conduction test, aka [[nerve conduction study]]"
NCV,nerve conduction velocity,nerve conduction velocity (see [[nerve conduction study]])
ND,(examination) not done,(examination) not done
NDI,nephrogenic diabetes insipidus,nephrogenic diabetes insipidus
NE,norepinephrine,[[norepinephrine]]
Ne,neutrophil granulocytes,[[neutrophil granulocyte]]s
NEAP,Net Endogenous Acid Production,Net Endogenous Acid Production
NEC,not elsewhere classified,not elsewhere classified 
NEC,necrotizing enterocolitis, necrotizing enterocolitis
NED,No evidence of disease,No evidence of disease
Neg,negative,negative
Neo,neoplasm,[[neoplasm]]
NES,not elsewhere specified,not elsewhere specified
NFR,not for resuscitation,[[Do not resuscitate|not for resuscitation]]
NG,nasogastric,nasogastric
NGT,nasogastric tube,nasogastric tube
NG tube,nasogastric tube,nasogastric tube
NGTD,negative to date / no growth to date,negative to date / no growth to date
NGU,nongonococcal urethritis,[[Non-gonococcal urethritis|nongonococcal urethritis]]
NH,nursing home,[[nursing home]]
NHL,non-Hodgkin lymphoma,[[non-Hodgkin lymphoma]]
NHW,non-healing wound,[[chronic wound|non-healing wound]]
NICMP,non-ischemic cardiomyopathy,[[non-ischemic cardiomyopathy]]
NICU,neonatal intensive care unit,[[neonatal intensive care unit]]
NIDDM,non-insulin-dependent diabetes mellitus,[[Diabetes mellitus type 2|non-insulin-dependent diabetes mellitus]]
NIF,Negative inspiratory force,[[Negative inspiratory force]]
NIH,National Institutes of Health,National Institutes of Health
NIPPV,Nasal intermittent positive pressure ventilation,Nasal intermittent positive pressure ventilation
NK,natural killer cells,[[natural killer cell]]s
NK cells,natural killer cells,[[natural killer cell]]s
NKA,no known allergies,no known [[allergy|allergies]]
NKDA,no known drug allergies,no known drug [[allergy|allergies]]
Nl,normal,normal
NLP,no light perception,no light perception (highest degree of [[blindness]])
NM,nuclear medicine,[[nuclear medicine]]
NMR,nuclear magnetic resonance,[[nuclear magnetic resonance]]
NNH,number needed to harm,[[number needed to harm]]
NNT,number needed to treat,[[number needed to treat]]
NO,nitric oxide,[[nitric oxide]]
No.,number,number
NOF,neck of femur fracture,neck of femur fracture (refers to [[hip fracture]])
NOMI,nonocclusive mesenteric ischemia,nonocclusive mesenteric ischemia
Non rep.,do not repeat,do not repeat
NOS,nitric oxide synthase;,[[nitric oxide synthase]]; 
NOS,not otherwise specified, not otherwise specified
NPA,nasal pharyngeal aspirate,[[nasal pharyngeal aspirate]]
NPH,normal pressure hydrocephalus,[[normal pressure hydrocephalus]]
Npl,neoplasm,[[neoplasm]]
NP,Nurse Practitioner,Nurse Practitioner
NPO,nil per os,[[nil per os]] (nothing by mouth)
NPPV,noninvasive positive pressure ventilation,noninvasive positive pressure ventilation
NPT,neuropsychiatric testing,neuropsychiatric testing
NPTAC,no previous tracing available for comparison,no previous tracing available for comparison
NPV,negative predictive value,negative predictive value
NRB,non-rebreather mask,[[non-rebreather mask]]
NRBC,nucleated red blood cells,nucleated red blood cells
NREM,non–rapid eye movement,[[Rapid eye movement sleep|non–rapid eye movement]]
n.s.,not significant,not [[Statistical significance|significant]]
NS,normal saline,[[normal saline]]
NSA,no significant abnormality,no significant abnormality
NSAID,nonsteroidal antiinflammatory drug,[[Non-steroidal anti-inflammatory drug|nonsteroidal antiinflammatory drug]]
NSBB,Non-selective beta blocker,Non-selective [[beta blocker]]
NSCC,Non-squamous-cell carcinoma,Non-squamous-cell carcinoma
NSCLC,non–small cell lung carcinoma,[[non-small cell lung carcinoma|non–small cell lung carcinoma]]
NSD,normal spontaneous delivery,normal spontaneous delivery (see [[childbirth]])
NSE,neurospecific enolase,[[neurospecific enolase]]
NSR,normal sinus rhythm,[[Electrical conduction system of the heart|normal sinus rhythm]]
NST,non-stress test,non-stress test (see [[cardiotocograph]])
NSTEMI,non-ST-elevation myocardial infarction,non-[[ST elevation|ST-elevation]] [[myocardial infarction]]
NSU,nonspecific urethritis,[[Non-gonococcal urethritis#Non-specific urethritis|nonspecific urethritis]]
NSVD,normal spontaneous vaginal delivery,normal spontaneous vaginal delivery
NT,not tested,not tested 
NT,nuchal translucency, nuchal translucency
NTD,neural tube defect,neural tube defect
NTG,nitroglycerin,[[nitroglycerin]]
n/t,numbness and tingling,numbness and tingling
NTP,Nortriptyline,[[Nortriptyline]]
NTT,nasotracheal tube,nasotracheal tube (see [[intubation]])
NTX,N-telopeptide,N-telopeptide
N&V,nausea and vomiting,[[nausea]] and [[vomiting]]
n/v,nausea and vomiting,[[nausea]] and [[vomiting]]
NVD,normal vaginal delivery;,normal vaginal delivery (see [[childbirth]]); 
NVD,"nausea, vomiting, and diarrhea"," [[nausea]], [[vomiting]], and [[diarrhea]]"
NVDC,"nausea, vomiting, diarrhea, and constipation","[[nausea]], [[vomiting]], [[diarrhea]], and [[constipation]]"
NWB,Non-weight-bearing,Non-weight-bearing
NYD,Not yet diagnosed,Not yet diagnosed
NYHA,New York Heart Association,New York Heart Association
OA,osteoarthritis,[[osteoarthritis]]
OAB,Overactive bladder,[[Overactive bladder]]
OAF,osteoclast activating factor,osteoclast activating factor
OB,obstetrics and gynecology,[[obstetrics]] and [[gynecology]]
OB-GYN,obstetrics and gynecology,[[obstetrics]] and [[gynecology]]
ob-gyne,obstetrics and gynecology,[[obstetrics]] and [[gynecology]]
Obl,oblique,oblique
OBS,organic brain syndrome,[[organic brain syndrome]]
Occ,occasional,occasional
OCD,obsessive-compulsive disorder,[[obsessive-compulsive disorder]]
OCG,oral cholecystogram,oral [[Cholecystography|cholecystogram]]
OCNA,Orthopedic Clinics of North America,Orthopedic Clinics of North America
OCP,oral contraceptive pill,[[oral contraceptive pill]]
OCT,optical coherence tomography,[[optical coherence tomography]]
OD,right eye,right [[human eye|eye]] (from [[Latin]] ''oculus dexter'') 
OD,overdose, [[overdose]] 
OD,occupational disease, [[occupational disease]]
od,"every day, usually regarded as once daily. Generally written in lowercase.","every day, usually regarded as once daily (from [[Latin]] ''omni die''). Generally written in lowercase."
ODC,ornithine decarboxylase,ornithine decarboxylase
OE,otitis externa,[[otitis externa]]
O/E,on examination,[[Physical examination|on examination]]
OGTT,oral glucose tolerance test,[[oral glucose tolerance test]]
OHL,oral hairy leukoplakia,oral hairy leukoplakia
OHS,Obesity hypoventilation syndrome,[[Obesity hypoventilation syndrome]]
Oint,ointment,[[ointment]]
OM,otitis media,[[otitis media]]
om,every morning. Generally written in lowercase.,every morning (from [[Latin]] ''omni mane''). Generally written in lowercase.
OME,otitis media with effusion,[[otitis media]] with effusion (fluid in the inner ear without other symptoms)
on,every night. Generally written in lowercase.,every night (from [[Latin]] ''omni nocte''). Generally written in lowercase.
O/N,overnight,overnight
OOB,out of bed,out of bed
OP,outpatient department,[[Hospital#Terminology|outpatient department]] 
OP,Osteoporosis, [[Osteoporosis]]
O&P,ova and parasites,[[ovum|ova]] and [[parasite]]s
OPD,outpatient department,[[outpatient department]]
OPPT,"oriented to person, place, and time","[[Orientation (mental)|oriented]] to person, place, and time"
OPV,outpatient visit,outpatient visit
OR,operating room,operating room (aka [[operating theatre]]) 
OR,odds ratio, odds ratio
ORIF,open reduction internal fixation,[[open reduction internal fixation]]
ORSA,oxacillin-resistant staphylococcus aureus,oxacillin-resistant staphylococcus aureus
ORT,oral rehydration therapy,oral rehydration therapy
OS,left eye,left eye (from [[Latin]] ''oculus sinister'') 
OS,orthopedic surgery, [[orthopedic surgery]] 
OS,overall survival, overall survival
OSA,obstructive sleep apnea,[[obstructive sleep apnea]]
OSH,outside hospital,outside hospital
Osm,osmolarity,[[osmolarity]]
Osteo,osteomyelitis,[[osteomyelitis]]
OT,occupational therapy,[[occupational therapy]]
OTC,over-the-counter drug,[[over-the-counter drug]]
OTD,out the door (discharged),out the door (discharged)
OTPP,"oriented to time, place, and person","[[Orientation (mental)|oriented]] to time, place, and person"
OTTR,Organ Transplant Tracking Record,Organ Transplant Tracking Record
OU,both eyes,both eyes (from [[Latin]] ''oculi uterque'')
OV,office visit,office visit (see [[ambulatory care]])
oz,ounce,[[ounce]]
P,parturition,[[parturition]] (total number of live births) 
P,phosphorus, [[phosphorus]] 
P,pulse, [[pulse]] 
P,post, post
PA,"posterior–anterior, posteroanterior","[[terms for anatomical location|posterior–anterior]], posteroanterior "
PA,pulmonary artery, [[pulmonary artery]] 
PA,physician assistant, [[physician assistant]] 
PA,psoriatic arthritis, [[psoriatic arthritis]] 
PA,primary aldosteronism, [[primary aldosteronism]]
P&A,percussion and auscultation,[[Percussion (medicine)|percussion]] and [[auscultation]] 
P&A,phenol and alcohol matrixectomy, [[Surgical treatment of ingrown toenails#Phenolisation|phenol and alcohol]] matrixectomy
PAC,premature atrial contraction,[[premature atrial contraction]] 
PAC,"pulmonary artery catheter, pulmonary artery catheterisation"," [[pulmonary artery catheter]], pulmonary artery catheterisation"
PACU,Post-Anesthesia Care Unit,[[Post-anesthesia care unit|Post-Anesthesia Care Unit]]
PAD,peripheral artery disease,peripheral artery disease (aka [[peripheral artery occlusive disease]]) 
PAF,platelet activating factor,[[platelet activating factor]] 
PAF,paroxysmal atrial fibrillation, [[paroxysmal atrial fibrillation]] (meaning intermittent AF)
PAH,pulmonary arterial hypertension,[[Pulmonary hypertension|pulmonary arterial hypertension]] 
PAH,phenylalanine hydroxylase, phenylalanine hydroxylase
PAI-1,plasminogen activator inhibitor 1,[[plasminogen activator inhibitor 1]]
PAL,posterior axillary line,[[Anatomical terms of location#Surface and other landmarks in humans|posterior axillary line]]
PALS,Pediatric Advanced Life Support,[[Pediatric Advanced Life Support]] (training program)
PAN,polyarteritis nodosa,[[polyarteritis nodosa]]
PAO,peak acid output,[[peak acid output]]
PAOD,peripheral artery occlusive disease,[[peripheral artery occlusive disease]]
PAP,Papanicolaou stain,[[Pap test|Papanicolaou]] stain 
PAP,positive airway pressure, [[positive airway pressure]] 
PAP,pulmonary artery pressure, [[pulmonary artery]] pressure (see [[pulmonary hypertension]]) 
PAP,pulmonary alveolar proteinosis, [[pulmonary alveolar proteinosis]]
Pap,Papanicolaou test,[[Papanicolaou test]] (pap smear)
PAPP-A,pregnancy-associated plasma protein A,pregnancy-associated plasma protein A
PARA I,indicating a woman with one child,indicating a woman with one child (partus = [[birth]])
PARA II,indicating a woman with two children,indicating a woman with two children (partus = [[birth]])
PAT,paroxysmal atrial tachycardia,paroxysmal [[atrial tachycardia]]
PBC,primary biliary cirrhosis,primary biliary cirrhosis
PBX,probiotics,[[probiotics]]
PBF,peripheral blood film,peripheral blood film
p.c.,after food,after food (from [[Latin]] ''post cibum'') 
p.c.,after meals, after meals
PCA,patient-controlled analgesia,[[patient-controlled analgesia]]
PCa,prostate cancer,[[prostate cancer]]
PCD,postconcussional disorder,postconcussional disorder 
PCD,primary ciliary dyskinesia, [[primary ciliary dyskinesia]]
PCI,percutaneous coronary intervention,[[percutaneous coronary intervention]]
PCIOL,posterior chamber intraocular lens,[[intraocular lens|posterior chamber intraocular lens]]
PCL,posterior cruciate ligament,[[posterior cruciate ligament]]
PCN,penicillin,[[penicillin]]
PCNSL,primary CNS (central nervous system) lymphoma,primary CNS (central nervous system) lymphoma
PCO,polycystic ovary,polycystic ovary (see [[polycystic ovarian syndrome]])
PCOS,polycystic ovarian syndrome,[[polycystic ovarian syndrome]]
PCP,Pneumocystis carinii pneumonia,''Pneumocystis carinii'' pneumonia (now called [[Pneumocystis pneumonia|''Pneumocystis'' pneumonia]]) 
PCP,primary care physician, [[primary care physician]] (also called primary care provider)
PCR,patient care report,[[patient care report]] 
PCR,polymerase chain reaction, [[polymerase chain reaction]]
PCS,post-concussion syndrome,[[post-concussion syndrome]]
PCT,progesterone challenge test,progesterone challenge test
PCV,packed cell volume,packed cell volume (see [[hematocrit]]) 
PCV,polycythemia vera, [[polycythemia vera]]
PCWP,pulmonary capillary wedge pressure,[[pulmonary capillary wedge pressure]]
PD,Parkinson's disease,[[Parkinson's disease]] 
PD,peritoneal dialysis, [[peritoneal dialysis]] 
PDA,patent ductus arteriosus,[[patent ductus arteriosus]] 
PDA,posterior descending artery, [[posterior descending artery]]
PDD,premenstrual dysphoric disorder,premenstrual dysphoric disorder
PDE,phosphodiesterase,[[phosphodiesterase]]
PDGF,platelet-derived growth factor,[[platelet-derived growth factor]]
PDR,Physicians' Desk Reference[],[[Physicians' Desk Reference]][(Profilarative Diabetic Retinopathy)]
PDT,photodynamic therapy,[[photodynamic therapy]]
PDVT,postoperative deep-vein thrombosis,postoperative deep-vein thrombosis
PE,pulmonary embolism,[[pulmonary embolism]] 
PE,pre-eclampsia, [[pre-eclampsia]] 
PE,physical examination, [[physical examination]]
PEA,pulseless electrical activity,[[pulseless electrical activity]]
PEARL,pupils equal and reactive to light,[[pupils equal and reactive to light]]
PEB,"cisplatin, etoposide, and bleomycin (chemotherapy regimen)","cisplatin, etoposide, and bleomycin (chemotherapy regimen)"
PEEP,positive end expiratory pressure,[[positive end expiratory pressure]]
PEF,peak expiratory flow,[[peak expiratory flow]]
PEFR,peak expiratory flow rate,[[peak expiratory flow rate]]
PEG,percutaneous endoscopic gastrostomy,[[percutaneous endoscopic gastrostomy]]
PEM,protein/energy malnutrition (aka Kwashiorkor),protein/energy malnutrition (aka Kwashiorkor)
pen,penicillin,[[penicillin]] (Best practice is [[List of medical abbreviations: Do-not-use list#For possible future inclusion in the official list|to avoid drug name abbreviations]])
PEP,postexposure prophylaxis,[[Prophylaxis|postexposure prophylaxis]]
PERRL,"pupils equal, round, reactive to light","pupils equal, round, reactive to light"
PERLA,pupils equal and reactive to light and accommodation,pupils equal and reactive to light and accommodation
PERRLA,"pupils equal, round, reactive to light and accommodation","pupils equal, round, reactive to light and accommodation"
Per Vag,per vagina,per vagina
PET,positron-emission tomography,[[positron-emission tomography]] (cerebral metabolic scan)
PFO,patent foramen ovale,[[patent foramen ovale]]
PFT,pulmonary function test,pulmonary function test (see [[spirometry]])
PGCS,Paediatric Glasgow Coma Scale,[[Paediatric Glasgow Coma Scale]]
PH,Pulmonary hypertension,[[Pulmonary hypertension]] 
PH,Past history, [[Past history]] (see also [[medical history]])
PHN,postherpetic neuralgia,[[postherpetic neuralgia]]
PHP,Partial Hospitalization Program,[[Partial hospitalization|Partial Hospitalization Program]]
PHQ,Patient Health Questionnaire,[[Patient Health Questionnaire]]
PHTLS,prehospital trauma life support,prehospital trauma life support
PI,present illness,present illness
PICC,peripherally inserted central catheter,[[peripherally inserted central catheter]]
PID,pelvic inflammatory disease,[[pelvic inflammatory disease]] 
PID,prolapsed intervertibral disc, [[prolapsed intervertibral disc]]
PIG-A,phosphatidyl inositol glycan A,phosphatidyl inositol glycan A
PIH,pregnancy induced hypertension,[[pregnancy induced hypertension]]
PJS,Peutz-Jeghers syndrome,Peutz-Jeghers syndrome
PK,protein kinase,protein kinase
PKA,protein kinase A,[[protein kinase A]]
PKD,polycystic kidney disease,[[polycystic kidney disease]]
PKP,Penetrating Keratoplasty,[[Penetrating Keratoplasty]]
PKU,phenylketonuria,[[phenylketonuria]] (PKU card—see [[Guthrie test]])
PLAT,tissue plasminogen activator,[[tissue plasminogen activator]]
PLIF,posterior lumbar interbody fusion,posterior lumbar interbody fusion (a type of [[spinal fusion]])
PLT,platelets,[[platelet]]s
PM,post meridiem,[[post meridiem]] (in the afternoon)
PMB,post-menopausal bleeding,[[post-menopausal bleeding]] (bleeding after menopause)
PMD,primary medical doctor,primary medical doctor
PMDD,premenstrual dysphoric disorder,premenstrual dysphoric disorder
PMH,past medical history,[[past medical history]] (see also [[medical history]]) 
PMH,perimesencephalic subarachnoid hemorrhage, perimesencephalic [[subarachnoid hemorrhage]]
PMI,point of maximal impulse or apical beat,[[Apex beat|point of maximal impulse]] or apical beat 
PMI,point of maximal intensity, point of maximal intensity
PML,polyoma virus,[[polyoma virus]] 
PML,progressive multifocal leukoencephalopathy, progressive multifocal leukoencephalopathy
PMP,Pseudomyxoma peritonei,''[[Pseudomyxoma peritonei]]''
PMN,"polymorphonuclear leukocytes, that is, neutrophils","[[Neutrophil granulocyte|polymorphonuclear leukocytes]], that is, neutrophils"
PMR,percutaneous myocardial revascularization,percutaneous myocardial [[revascularization]] 
PM&R,physical medicine and rehabilitation,physical medicine and rehabilitation
PMS,premenstrual syndrome,premenstrual syndrome
PNA,pneumonia,pneumonia
PNA,postnatal age,postnatal age
PND,paroxysmal nocturnal dyspnea,[[paroxysmal nocturnal dyspnea]] 
PND,postnasal drip, [[postnasal drip]]
PNET,primitive neuroectodermal tumor,primitive neuroectodermal tumor
PNH,paroxysmal nocturnal hemoglobinuria,[[paroxysmal nocturnal hemoglobinuria]]
PNM,perinatal mortality,[[perinatal mortality]]
PNV,Prenatal vitamin,Prenatal vitamin
PO,"by mouth, that is, orally","by mouth, that is, orally (from [[Latin]] ''[[per os]]'')"
POA,Power of Attorney,(Health Care) [[Power of Attorney]]
POC,postoperative care,postoperative care 
POC,products of conception, products of conception 
POC,Plan of Care, Plan of Care
POD,postoperative days,postoperative days
poly,"polymorphonuclear cells, that is, neutrophils","[[Neutrophil granulocyte|polymorphonuclear]] cells, that is, neutrophils"
PONV,postoperative nausea and vomiting,postoperative nausea and vomiting
POP,"pain on palpation, Plaster of Paris","pain on [[palpation]], Plaster of Paris"
Post,posterior,posterior (see [[anatomical terms of location]])
POT,plan of treatment,plan of treatment
POX,peroxidase,[[peroxidase]]
PP,pulse pressure,pulse pressure 
PP,"postpartum, that is, postnatal"," postpartum, that is, [[postnatal]]"
PPCS,prolonged post-concussion syndrome,prolonged [[post-concussion syndrome]]
PPD,packs per day,packs per day ([[cigarette]]s) 
PPD,"postpartum depression, that is, postnatal depression"," postpartum depression, that is, [[postnatal depression]] "
PPD,"purified protein derivative or Mantoux test, for tuberculosis testing"," purified protein derivative or [[Mantoux test]], for [[tuberculosis]] testing"
PPF,posterior pharyngeal flap,posterior pharyngeal flap
PPH,postpartum haemorrhage,[[Obstetrical hemorrhage|postpartum haemorrhage]] 
PPH,primary pulmonary hypertension, [[Pulmonary hypertension|primary pulmonary hypertension]] 
PPH,procedure for prolapse and hemorrhoids, [[Stapled hemorrhoidectomy|procedure for prolapse and hemorrhoids]]
PPI,proton pump inhibitor,[[proton pump inhibitor]]
PPROM,preterm premature rupture of membranes,preterm [[premature rupture of membranes]]
PPS,post-polio syndrome,post-polio syndrome
Ppt,precipitate,[[Precipitation (chemistry)|precipitate]] 
Ppt,precipitating, precipitating
PPTL,postpartum tubal ligation,postpartum [[tubal ligation]]
PPTP,Pediatric preclinical testing program,Pediatric preclinical testing program
PPV,positive predictive value,positive predictive value
PPx,prophylaxis,prophylaxis
PR,prothrombin ratio,prothrombin ratio
p.r.,per rectum,per rectum (as noun: [[rectal examination]])
PRA,plasma renin activity,[[plasma renin activity]]
PRBC,packed red blood cells,[[Packed cells|packed red blood cells]]
PRBCs,packed red blood cells,[[Packed cells|packed red blood cells]]
PREA,Pediatric Research Equity Act,Pediatric Research Equity Act
Preme,premature infant,premature infant (see [[premature birth]])
Prep,preparation,preparation
PRES,Posterior reversible encephalopathy syndrome,Posterior reversible encephalopathy syndrome
PRIND,prolonged reversible ischemic neurologic deficit,prolonged reversible [[Ischemia|ischemic]] neurologic deficit
PRL,prolactin,prolactin
prn,as necessary,"as necessary (from [[Latin]] ''[[pro re nata]]'') (if used in chronic pain control, sometimes disparagingly termed ""pain relief nil"") "
prn,as needed, as needed
PRN,as necessary,"as necessary (from [[Latin]] ''[[pro re nata]]'') (if used in chronic pain control, sometimes disparagingly termed ""pain relief nil"") "
PRN,as needed, as needed
Prog,prognosis,prognosis
PROM,premature rupture of membranes,[[premature rupture of membranes]]
PRP,panretinal photocoagulation,panretinal photocoagulation 
PRP,progressive rubella panencephalitis, [[progressive rubella panencephalitis]]
PRV,polycythemia rubra vera,polycythemia rubra vera (see [[polycythemia vera]])
PSA,prostate-specific antigen,[[prostate-specific antigen]]
PBSO,Partial small bowel obstruction,Partial small bowel obstruction
PSC,Primary sclerosing cholangitis,[[Primary sclerosing cholangitis]]
PSGN,poststreptococcal glomerulonephritis,[[Postinfectious glomerulonephritis|poststreptococcal glomerulonephritis]]
PSH,Past surgical history,Past surgical history 
PSH,psychosocial history, psychosocial history 
PSH,Past medical history, [[Past medical history]] (see also [[medical history]])
PSI,Pneumonia severity index,[[Pneumonia severity index]]
PSP,phenylsulphtalein,[[phenylsulphtalein]]
PSS,progressive systemic sclerosis,progressive systemic sclerosis (see [[scleroderma]])
PSVT,paroxysmal supraventricular tachycardia,paroxysmal supraventricular tachycardia
PT,prothrombin time,[[prothrombin time]] 
PT,physical therapy, [[physical therapy]] (physiotherapy)
Pt.,patient,"[[patient]] (from [[Latin]] ''patiens'', meaning “one who endures” or “one who suffers”)"
PTA,percutaneous transluminal angioplasty,[[percutaneous transluminal angioplasty]] 
PTA,post-traumatic amnesia, [[post-traumatic amnesia]] 
PTA,prior to admission, prior to admission
PTB,pulmonary tuberculosis,pulmonary [[tuberculosis]]
PTC,percutaneous transhepatic cholangiography,[[percutaneous transhepatic cholangiography]]
PTCA,percutaneous transluminal coronary angioplasty,[[percutaneous transluminal coronary angioplasty]]
PTD,prior to discharge,prior to discharge 
PTD,preterm delivery, preterm delivery
PTH,parathyroid hormone,[[parathyroid hormone]]
PTHC,percutaneous transhepatic cholangiography,[[percutaneous transhepatic cholangiography]]
PTL,preterm labor,preterm labor
PTSD,posttraumatic stress disorder,[[posttraumatic stress disorder]]
PTSS,posttraumatic stress syndrome,posttraumatic stress syndrome (see [[posttraumatic stress disorder]])
PTT,partial thromboplastin time,[[partial thromboplastin time]]
PTU,propylthiouracil,propylthiouracil
PTx,pneumothorax,[[pneumothorax]]
PUS,palindromic units,palindromic units
PUBS,percutaneous umbilical blood sample,percutaneous umbilical blood sample
PUD,peptic ulcer disease,[[Peptic ulcer|peptic ulcer disease]]
PUO,pyrexia of unknown origin,[[Fever of unknown origin|pyrexia of unknown origin]]
PUVA,psoralen UV A (photochemical ultraviolet light A waves),psoralen UV A (photochemical ultraviolet light A waves)
p.v.,per vagina,per vagina (as noun: vaginal examination with manual examination and [[Speculum (medical)|speculum]] inspection)
PVC (VPC),premature ventricular contraction,[[premature ventricular contraction]]
PVD,peripheral vascular disease,[[peripheral vascular disease]]
PVFS,post-viral fatigue syndrome,[[post-viral fatigue syndrome]]
PVI,Peripheral Vascular Insufficiency,Peripheral Vascular Insufficiency 
PVI,Pulmonary Vein Isolation, Pulmonary Vein Isolation
PVR,pulmonary vascular resistance,[[pulmonary vascular resistance]]
PVS,persistent vegetative state,[[persistent vegetative state]] 
PVS,pulmonary valve stenosis, [[pulmonary valve stenosis]] 
PVS,Plummer-Vinson syndrome, [[Plummer-Vinson syndrome]]
PWP,pulmonary wedge pressure,[[pulmonary wedge pressure]]
Px,physical examination,[[physical examination]]
px,physical examination,[[physical examination]]
Px,prognosis,[[prognosis]]
P-Y,"pack-years (years of smoking multiplied by average number of packs, or fraction thereof, per day)","pack-years (years of smoking multiplied by average number of packs, or fraction thereof, per day)"
PZA,pyrazinamide,[[pyrazinamide]]
q,"each, every","each, every (from [[Latin]] ''quaque'')"
q2wk,once every 2 weeks,once every 2 weeks
q6h,once every 6 hours,once every 6 hours
q.a.d.,every other day (from Latin ''quaque altera die''),every other day (from Latin ''quaque altera die'')
QALY,quality-adjusted life year,[[quality-adjusted life year]]
q.AM,every day before noon (from Latin ''quaque die ante meridiem''),every day before noon (from Latin ''quaque die ante meridiem'')
q.d.,each day (from Latin ''quaque die''),each day (from Latin ''quaque die'') 
q.d.s.,four times each day (from Latin ''quater die sumendus''),four times each day (from Latin ''quater die sumendus'')
q.h.,each hour (from Latin ''quaque hora''),each hour (from Latin ''quaque hora'')
q.h.s.,every bedtime (from Latin ''quaque hora somni''),every bedtime (from Latin ''quaque hora somni'')
q.i.d.,four times each day (from Latin ''{{not a typo|quater}} in die''),four times each day (from Latin ''{{not a typo|quater}} in die'') 
QIDS,Quick Inventory of Depressive Symptoms,[[Rating scales for depression|Quick Inventory of Depressive Symptoms]]
q.l.,as much as you like (from Latin ''quantum libet''),as much as you like (from Latin ''quantum libet'')
q.m.t.,every month,every month
q.n.,every night,every night
QNS,quantity not sufficient,quantity not sufficient
q.n.s.,quantity not sufficient,quantity not sufficient
q.o.d.,every other day (from Latin ''quaque altera die''),every other day (from Latin ''quaque altera die'') 
QOF,Quality and Outcomes Framework,[[Quality and Outcomes Framework]] (system for payment of [[General practitioner|GPs]] in the UK [[National Health Service]])
q.o.h.,every other hour,every other hour
q.s.,as much as suffices (from Latin ''quantum satis'' or ''quantum sufficit''),as much as suffices (from Latin ''quantum satis'' or ''quantum sufficit'')
qt,quart,[[quart]]
q.v.,which see (from Latin ''quod vide'');,which see (from Latin ''quod vide''); 
q.v.,as much as you please (from Latin ''quantum vis''), as much as you please (from Latin ''quantum vis'')
q.wk. also qw,weekly (once a week),weekly (once a week)
R,respiration,[[Breathing|respiration]]
RA,refractory anemia,[[refractory anemia]] 
RA,rheumatoid arthritis, [[rheumatoid arthritis]] 
RA,right atrium, [[right atrium]] 
RA,room air, room air
RAD,reflex anal dilatation,[[reflex anal dilatation]] 
RAD,right axis deviation, [[right axis deviation]] 
Rad hys,radical hysterectomy,radical [[hysterectomy]]
RAE,right atrial enlargement,right atrial enlargement
RAI,radioactive iodine,[[radioactive iodine]]
RAIU,thyroid reactive iodine uptake,thyroid reactive iodine uptake
RAPD,relative afferent pupillary defect,relative afferent [[pupil]]lary defect
RAS,renal artery stenosis,renal artery stenosis
RATLH,Robotic assisted total laparoscopic hysterectomy,Robotic assisted total laparoscopic hysterectomy
RATVH,Radical Total Vaginal Hysterectomy,[[hysterectomy|Radical Total Vaginal Hysterectomy]]
RBBB,right bundle branch block,[[right bundle branch block]]
RBC,"red blood cells, red blood count","[[red blood cell]]s, red blood count"
RBE,relative biologic equivalent,relative biologic equivalent
RBLM,recurrent benign lymphocytic meningitis,recurrent benign [[lymphocytic meningitis]]
RCA,right coronary artery,[[right coronary artery]]
RCC,renal cell carcinoma,[[renal cell carcinoma]]
RCM,restrictive cardiomyopathy,[[restrictive cardiomyopathy]] 
RCM,right costal margin, right [[costal margin]]
RCR,rotator cuff repair,[[rotator cuff]] repair
RCT,randomized controlled trial,[[randomized controlled trial]]
RD,retinal detachment,[[retinal detachment]]
RDS,respiratory distress syndrome,[[Respiratory distress syndrome (disambiguation)|respiratory distress syndrome]] (see also [[infant respiratory distress syndrome]])
RDW,red cell distribution width,[[Red blood cell|red cell]] distribution width
REI,Reproductive Endocrinology and Infertility,Reproductive Endocrinology and Infertility
REM,rapid eye movement,[[Rapid eye movement sleep|rapid eye movement]] 
REM,roentgen equivalent man, roentgen equivalent man
RF,rheumatoid factor,[[rheumatoid factor]] 
RF,rheumatic fever, [[rheumatic fever]]
RFLP,restriction fragment length polymorphism,[[restriction fragment length polymorphism]]
RFT,renal function test,[[renal function test]]
r/g/m,rubs/gallops/murmurs,rubs/gallops/murmurs (see [[heart sounds]])
Rh,rhesus factor,[[rhesus factor]]
Rhabdo,Rhabdomyolysis,[[Rhabdomyolysis]]
RHD,rheumatoid heart disease,rheumatoid [[heart disease]]
RhF,rheumatoid factor,[[rheumatoid factor]]
RIA,radioimmunoassay,[[radioimmunoassay]]
RIBA,radioimmunoblotting assay,radioimmunoblotting assay
RICE,"rest, ice, compression, and elevation","[[RICE (medicine)|rest, ice, compression, and elevation]] (treatment for a soft tissue injury)"
RIF,rifampin,[[rifampin]]
RIMA,reversible inhibitor of monoamine oxidase A,[[reversible inhibitor of monoamine oxidase A]]
RIND,reversible ischemic neurologic deficit,[[reversible ischemic neurologic deficit]]
